title,year_release,earnings,country,type_of_subject,lead_actor_actress,lead_actor_actress_known
24 Hour Party People,2002,1.13,UK,Musician,Steve Coogan,True
The Whistleblower,2010,1.12,US/Canada,Other,Rachel Weisz,True
An Angel at My Table,1990,1.1,UK,Author,Kerry Fox,True
When Did You Last See Your Father?,2007,1.07,UK,Other,Colin Firth,True
Casino Jack,2010,1.04,Canada,Other,Kevin Spacey,True
Kill Your Darlings,2013,1.03,US,Author,Daniel Radcliffe,True
Cobb,1994,1.01,US,Athlete,Tommy Lee Jones,True
Goya's Ghosts,2006,1.0,US,Artist,Stellan SkarsgÌ´rd,True
Control,2007,0.87,US/UK,Musician,Sam Riley,True
Without Limits,1998,0.78,US,Athlete,Billy Crudup,True
The Assassination of Richard Nixon,2004,0.7,US,Other,Sean Penn,True
Frankie & Alice,2010,0.69,Canada,Other,Halle Berry,True
Testament of Youth,2014,0.67,UK,Other,Alicia Vikander,True
"The Prize Winner of Defiance, Ohio",2005,0.63,US,Other,Julianne Moore,True
My Life So Far,1999,0.62,US/UK,Other,Robert Norman,True
Howl,2010,0.62,US,Author,James Franco,True
Mesrine Part 1: Killer Instinct,2008,0.55,Canada,Criminal,Vincent Cassel,True
Machine Gun Preacher,2011,0.54,US,Other,Gerard Butler,True
Tom & Viv,1994,0.54,US/UK,Author,Miranda Richardson,True
20 Dates,1998,0.54,US,Other,Myles Berkowitz,True
Tom & Viv,1994,0.54,US/UK,Author,Willem Dafoe,True
Prefontaine,1997,0.53,US,Athlete,Jared Leto,True
Little Ashes,2008,0.48,UK,Artist,Robert Pattinson,True
Last Days,2005,0.46,US,Musician,Michael Pitt,True
Callas Forever,2002,0.45,UK,Singer,Fanny Ardant,True
The Damned United,2009,0.45,UK,Athlete,Michael Sheen,True
The 5th Quarter,2010,0.4,US,Athlete,Ryan Merriman,True
Bandit Queen,1994,0.4,UK,Criminal,Seema Biswas,True
Baadasssss!,2003,0.36,US,Actor,Mario Van Peebles,True
Nostradamus,1994,0.36,UK,Historical,TchÌ©ky Karyo,True
Copying Beethoven,2006,0.35,US,Musician,Ed Harris,True
Lovelace,2013,0.35,US,Actress,Amanda Seyfried,True
Total Eclipse,1995,0.34,UK,Author (poet),David Thewlis,True
Total Eclipse,1995,0.34,UK,Author (poet),Leonardo DiCaprio,True
Swoon,1992,0.34,US,Criminal,Daniel Schlachet,True
Swoon,1992,0.34,US,Criminal,Craig Chester,True
Love Is the Devil: Study for a Portrait of Francis Bacon,1998,0.34,US/UK,Artist,Derek Jacobi,True
Creation,2009,0.34,UK,Academic,Paul Bettany,True
The First Grader,2010,0.33,US,Other,Oliver Litondo,True
Diana,2013,0.33,UK,Other,Naomi Watts,True
Grey Owl,1999,0.32,Canada/UK,Other,Pierce Brosnan,True
Jimi: All Is by My Side,2013,0.32,US/UK,Musician,AndrÌ© Benjamin,True
Party Monster,2003,0.3,US,Criminal,Macaulay Culkin,True
Mesrine Part 2: Public Enemy #1,2008,0.28,Canada,Criminal,Vincent Cassel,True
The Last of Robin Hood,2013,0.27,US,Actor,Kevin Kline,True
Sixty Six,2006,0.23,UK,Other,Gregg Sulkin,True
Death in Granada,1996,0.23,US,Author,Andy Garcia,True
Fur: An Imaginary Portrait of Diane Arbus,2006,0.22,US,Other,Nicole Kidman,True
Modigliani,2004,0.2,UK,Artist,Andy Garcia,True
Hunger,2008,0.15,UK,Activist,Michael Fassbender,True
Music Within,2007,0.15,US,Activist,Ron Livingston,True
Infinity,1996,0.15,US,Academic,Matthew Broderick,True
Desert Dancer,2014,0.14,UK,Artist,Reece Ritchie,True
The Whole Wide World,1996,0.14,US,Author,Vincent D'Onofrio,True
The Whole Wide World,1996,0.14,US,Author,RenÌ©e Zellweger,True
I Am a Sex Addict,2005,0.11,US,Actor,Caveh Zahedi,True
Bronson,2008,0.1,UK,Criminal,Tom Hardy,True
Self Medicated,2005,0.1,US,Other,Monty Lapica,True
One Chance,2013,0.09,US/UK,Musician,James Corden,True
Blue Caprice,2013,0.09,US,Criminal,Isaiah Washington,True
Steal This Movie,2000,0.08,US,Activist,Vincent D'Onofrio,True
Killer: A Journal of Murder,1995,0.07,US,Criminal,James Woods,True
Ned Kelly,2003,0.07,US/UK,Criminal,Heath Ledger,True
What We Do Is Secret,2007,0.06,US,Singer,Shane West,True
Vatel,2000,0.05,UK,Other,GÌ©rard Depardieu,True
Swimming Upstream,2003,0.05,US,Athlete,Geoffrey Rush,True
Desert Flower,2009,0.04,UK,Activist,Soraya Omar-Scego (young) and Liya Kebede (older),True
The Red Baron,2008,0.04,UK,Military,Matthias SchweighÌ¦fer,True
Low Down,2014,0.04,US,Musician,John Hawkes,True
The Edge of Love,2008,0.03,UK,Author (poet),Matthew Rhys,True
Pierrepoint: The Last Hangman,2005,0.02,US/UK,Other,Timothy Spall,True
Stander,2003,0.02,Canada/UK,Other,Thomas Jane,True
The Long Day Closes,1992,0.02,UK,Other,Leigh McCormack,True
Monsieur N.,2003,0.02,UK,Historical,Philippe Torreton,True
Behind the Lines,1997,0.02,Canada/UK,Military,James Wilby,True
Nora,2000,0.01,UK,Author,Ewan McGregor,True
Kid Cannabis,2014,0.01,US,Criminal,Jonathan Daniel Brown,True
The Last Time I Committed Suicide,1997,0.01,US,Author,Thomas Jane,True
Ed Gein,2000,0.01,US/UK,Criminal,Steve Railsback,True
The Look of Love,2013,0.01,US/UK,Other,Steve Coogan,True
Nora,2000,0.01,UK,Other,Susan Lynch,True
Set Fire to the Stars,2014,0.0,UK,Author (poet),Celyn Jones,True
